"competencia","data","ano","entidade","entidade_nome","bloco","aprovada","distribuida","ocupada","vago","nunca_distribuido","vago_pos_distrib","taxa_vacancia"
201601,2016-01-01,2016,36208,"AGENCIA NACIONAL DE SAUDE SUPLEMENTAR","36208",716,607,575,141,109,32,19.69
201601,2016-01-01,2016,37000,"DEFENSORIA PUBLICA DA UNIAO","37000",2004,1032,953,1051,972,79,52.45
201601,2016-01-01,2016,38000,"CONSELHO ADMINIST.DE DEFESA ECONOMICA","38000",53,51,41,12,2,10,22.64
201601,2016-01-01,2016,39250,"AGENCIA NAC. DE TRANSPORTES TERRESTRES","39250",1834,1295,1133,701,539,162,38.22
201601,2016-01-01,2016,39251,"AGENCIA NAC. DE TRANSPORTES AQUAVIARIOS","39251",496,461,415,81,35,46,16.33
201601,2016-01-01,2016,39252,"DEPARTAMENTO NAC.DE INFRAEST. DE TRANSP.","39252",4444,3559,2953,1491,885,606,33.55
201601,2016-01-01,2016,40100,"Min. da Integração e Desenv. Regional","40112",799,618,401,398,181,217,49.81
201601,2016-01-01,2016,40108,"MINISTERIO CIENCIA TECNOLOGIA INOVA","40108",5286,4741,3683,1603,545,1058,30.33
201601,2016-01-01,2016,40115,"Ministério da Defesa","40105",3131,2788,1829,1302,343,959,41.58
201601,2016-01-01,2016,40116,"Advocacia-Geral da União","40106",8790,8714,7252,1538,76,1462,17.5
201601,2016-01-01,2016,40202,"FUNDACAO ESCOLA NACIONAL DE ADM. PUBLICA","40202",198,194,131,67,4,63,33.84
201601,2016-01-01,2016,40211,"Ministério do Meio Ambiente","40111",984,973,766,218,11,207,22.15
201601,2016-01-01,2016,40301,"COMISSAO NACIONAL DE ENERGIA NUCLEAR","40301",3385,2898,2152,1233,487,746,36.43
201601,2016-01-01,2016,40403,"Fundação Casa de Rui Barbosa","40403",159,156,122,37,3,34,23.27
201601,2016-01-01,2016,40408,"FUNDACAO CULTURAL PALMARES","40408",28,28,27,1,0,1,3.57
201601,2016-01-01,2016,40501,"CONSELHO NAC.DE DESEN.CIEN.E TECNOLOGICO","40501",1109,913,555,554,196,358,49.95
201601,2016-01-01,2016,40603,"SUPERINTENDENCIA ZONA FRANCA DE MANAUS","40603",634,607,547,87,27,60,13.72
